,Station,Line,Latitude,Longitude,color,coords
0,Ameerpet,Red Line / Blue Line,17.4356865,78.4445922,Red  / Blue,"(17.4356865, 78.4445922)"
1,Assembly,Red Line,17.398107,78.47079699999999,Red,"(17.398107, 78.47079699999999)"
2,Begumpet,Blue Line,17.4375764,78.45695020000001,Blue,"(17.4375764, 78.45695020000001)"
3,Bharat Nagar,Red Line,17.4640387,78.43004669999999,Red,"(17.4640387, 78.43004669999999)"
4,Chaitanyapuri,Red Line,17.3683237,78.5359278,Red,"(17.3683237, 78.5359278)"
5,Chikkadpally,Green Line,17.4002027,78.4948174,Green,"(17.4002027, 78.4948174)"
6,Dilsukhnagar,Red Line,17.36855,78.5256648,Red,"(17.36855, 78.5256648)"
7,Dr. B. R. Ambedkar Balanagar,Red Line,17.476826,78.42211460000001,Red,"(17.476826, 78.42211460000001)"
8,Durgam Cheruvu,Blue Line,17.4428098,78.3876282,Blue,"(17.4428098, 78.3876282)"
9,Erragadda,Red Line,17.4571862,78.43349429999999,Red,"(17.4571862, 78.43349429999999)"
10,ESI Hospital,Red Line,17.4474675,78.438304,Red,"(17.4474675, 78.438304)"
11,Gandhi Bhavan,Red Line,17.3848433,78.4738673,Red,"(17.3848433, 78.4738673)"
12,Gandhi Hospital,Green Line,17.4256372,78.50186839999999,Green,"(17.4256372, 78.50186839999999)"
13,Habsiguda,Blue Line,17.4201961,78.54053619999999,Blue,"(17.4201961, 78.54053619999999)"
14,HITEC City,Blue Line,17.4489198,78.38319109999999,Blue,"(17.4489198, 78.38319109999999)"
15,Irrum Manzil,Red Line,17.4205591,78.45609429999999,Red,"(17.4205591, 78.45609429999999)"
16,JBS Parade Ground,Green Line / Blue Line,17.444461,78.497463,Green  / Blue,"(17.444461, 78.497463)"
17,JNTU College,Red Line,17.4986677,78.3888094,Red,"(17.4986677, 78.3888094)"
18,Jubilee Hills Check Post,Blue Line,17.4282288,78.4137204,Blue,"(17.4282288, 78.4137204)"
19,Khairatabad,Red Line,17.4135174,78.4610869,Red,"(17.4135174, 78.4610869)"
20,KPHB Colony,Red Line,17.4937967,78.40167129999999,Red,"(17.4937967, 78.40167129999999)"
21,Kukatpally,Red Line,17.4851155,78.4115577,Red,"(17.4851155, 78.4115577)"
22,LB Nagar,Red Line,17.3497098,78.547973,Red,"(17.3497098, 78.547973)"
23,Lakdi-ka-pul,Red Line,17.403954,78.465004,Red,"(17.403954, 78.465004)"
24,Madhapur,Blue Line,17.4367684,78.40071019999999,Blue,"(17.4367684, 78.40071019999999)"
25,Malakpet,Red Line,17.3766392,78.49479939999999,Red,"(17.3766392, 78.49479939999999)"
26,Mettuguda,Blue Line,17.4354241,78.5197012,Blue,"(17.4354241, 78.5197012)"
27,MG Bus Station,Red Line / Green Line,17.379853,78.4859827,Red  / Green,"(17.379853, 78.4859827)"
28,Miyapur,Red Line,17.4964542,78.3729359,Red,"(17.4964542, 78.3729359)"
29,Moosapet,Red Line,17.4721,78.425955,Red,"(17.4721, 78.425955)"
30,Musarambagh,Red Line,17.371128,78.511944,Red,"(17.371128, 78.511944)"
31,Musheerabad,Green Line,17.4176206,78.49958,Green,"(17.4176206, 78.49958)"
32,Nagole,Blue Line,17.390809,78.558832,Blue,"(17.390809, 78.558832)"
33,Nampally,Red Line,17.392351,78.470134,Red,"(17.392351, 78.470134)"
34,Narayanaguda,Green Line,17.3953366,78.4904433,Green,"(17.3953366, 78.4904433)"
35,New Market,Red Line,17.373484,78.502906,Red,"(17.373484, 78.502906)"
36,NGRI,Blue Line,17.4147929,78.5463429,Blue,"(17.4147929, 78.5463429)"
37,Osmania Medical College,Red Line,17.382346,78.4810712,Red,"(17.382346, 78.4810712)"
38,Parade Ground,Blue Line / Green Line,17.444461,78.497463,Blue  / Green,"(17.444461, 78.497463)"
39,Paradise,Blue Line,17.4435024,78.48619219999999,Blue,"(17.4435024, 78.48619219999999)"
40,Peddamma Gudi,Blue Line,17.4305178,78.40852819999999,Blue,"(17.4305178, 78.40852819999999)"
41,Prakash Nagar,Blue Line,17.4448917,78.4658366,Blue,"(17.4448917, 78.4658366)"
42,Punjagutta,Red Line,17.428605,78.451161,Red,"(17.428605, 78.451161)"
43,Raidurg,Blue Line,17.4420806,78.3771549,Blue,"(17.4420806, 78.3771549)"
44,Rasoolpura,Blue Line,17.443597,78.476365,Blue,"(17.443597, 78.476365)"
45,Road No 5 Jubilee Hills,Blue Line,17.430084,78.422997,Blue,"(17.430084, 78.422997)"
46,R.T.C. X Roads,Green Line,17.407094,78.496558,Green,"(17.407094, 78.496558)"
47,S.R. Nagar,Red Line,17.4416568,78.44163270000001,Red,"(17.4416568, 78.44163270000001)"
48,Secunderabad East,Blue Line,17.4357879,78.5054284,Blue,"(17.4357879, 78.5054284)"
49,Secunderabad West,Green Line,17.4336645,78.4992151,Green,"(17.4336645, 78.4992151)"
50,Stadium,Blue Line,17.40739,78.5542321,Blue,"(17.40739, 78.5542321)"
51,Sultan Bazaar,Green Line,17.3836834,78.4833794,Green,"(17.3836834, 78.4833794)"
52,Tarnaka,Blue Line,17.428293,78.5285577,Blue,"(17.428293, 78.5285577)"
53,Taruni Madhura Nagar,Blue Line,17.4370441,78.4391796,Blue,"(17.4370441, 78.4391796)"
54,Uppal,Blue Line,17.4000909,78.5601753,Blue,"(17.4000909, 78.5601753)"
55,Victoria Memorial,Red Line,17.3618337,78.5439605,Red,"(17.3618337, 78.5439605)"
56,Yusufguda,Blue Line,17.4350829,78.4273015,Blue,"(17.4350829, 78.4273015)"
